date,closing_price,starting_price,high_price,low_price,trans_thd,trans_vol_mil,mkt_cap_mil
2009/10/26,1657.11,1634.33,1663.03,1633.92,314208,4769977,867998317
2009/10/27,1649.53,1646.76,1651.63,1637.15,334696,5147974,864152942
2009/10/28,1609.71,1648.80,1652.46,1604.01,370004,5465163,843528621
2009/10/29,1585.85,1584.52,1587.19,1564.41,372461,5708790,831325135
2009/10/30,1580.69,1605.12,1605.12,1580.69,272706,4830826,828748895
2009/11/02,1559.09,1543.24,1570.15,1543.24,289875,4408360,817190241
2009/11/03,1549.92,1562.10,1565.01,1549.10,274473,3638963,812299901
2009/11/04,1579.93,1556.02,1579.93,1550.73,267396,3782343,827883941
2009/11/05,1552.24,1568.67,1571.80,1551.94,204375,3368233,813533311
2009/11/06,1572.46,1577.64,1577.64,1565.48,254308,3701173,823974027
2009/11/09,1576.79,1577.92,1592.10,1573.36,246233,3502745,826398698
2009/11/10,1582.30,1595.33,1600.41,1580.03,276940,3893466,829247731
2009/11/11,1594.82,1590.44,1594.82,1574.78,263273,3251699,837877480
2009/11/12,1572.73,1598.55,1603.01,1572.72,282771,4843811,826249190
2009/11/13,1571.99,1581.60,1587.07,1561.93,260028,4194425,825815430
2009/11/16,1592.47,1577.63,1592.48,1566.83,246310,4018462,836495190
2009/11/17,1585.98,1599.79,1602.67,1585.97,295963,4919238,833215208
2009/11/18,1603.97,1595.88,1612.63,1594.86,279956,5197112,842799236
2009/11/19,1620.54,1608.94,1625.35,1608.58,281503,4792546,852497367
2009/11/20,1620.60,1613.28,1624.90,1612.32,262293,3697537,852594088
2009/11/23,1619.05,1623.80,1630.41,1611.73,256974,3459037,851829794
2009/11/24,1606.42,1626.93,1627.11,1601.14,397850,4899768,845192219
2009/11/25,1611.88,1608.83,1614.90,1599.08,287007,3494400,848151930
2009/11/26,1599.52,1606.73,1621.21,1599.51,282560,4141726,841866403
2009/11/27,1524.50,1574.56,1581.44,1519.40,389951,5495562,802431711
2009/11/30,1555.60,1547.65,1566.51,1547.65,311492,4583797,819088121
2009/12/01,1569.72,1550.35,1569.72,1541.09,304882,4579361,826340531
